Wall time,Step,Value
1590928606.23232,751,-0.125
1590928607.416466,752,-0.09375
1590928608.303626,753,0.0
1590928609.513377,754,-0.25
1590928610.845352,755,-0.1875
1590928612.257909,756,-0.09375
1590928613.430986,757,0.03125
1590928614.433043,758,-0.1875
1590928615.645107,759,-0.0625
1590928616.374908,760,-0.09375
1590928617.4457002,761,0.03125
1590928618.4893818,762,0.0625
1590928619.846396,763,-0.09375
1590928620.810254,764,-0.125
1590928622.1463501,765,-0.25
1590928623.073295,766,-0.125
1590928624.584064,767,-0.34375
1590928625.770006,768,-0.0625
1590928626.995965,769,-0.1875
1590928627.924497,770,-0.1875
1590928629.157494,771,-0.09375
1590928630.250813,772,-0.03125
1590928631.205392,773,-0.25
1590928632.738605,774,-0.1875
1590928633.617441,775,-0.0625
1590928634.315521,776,-0.15625
1590928635.181547,777,0.0625
1590928636.045792,778,-0.03125
1590928636.802838,779,-0.125
1590928637.7840252,780,-0.03125
1590928638.4880772,781,-0.15625
1590928639.683806,782,-0.125
1590928641.249449,783,-0.28125
1590928642.6940548,784,-0.03125
1590928643.984488,785,0.0625
1590928645.095864,786,-0.15625
1590928646.345473,787,-0.03125
1590928647.816064,788,-0.03125
1590928649.1917078,789,-0.46875
1590928650.5391512,790,-0.28125
1590928651.6557271,791,-0.25
1590928653.748862,792,-0.25
1590928656.0946429,793,-0.0625
1590928657.603581,794,-0.15625
1590928658.58547,795,-0.1875
1590928660.114769,796,-0.1875
1590928661.35851,797,-0.15625
1590928662.217199,798,-0.34375
1590928663.0825942,799,-0.25
1590928664.2026272,800,0.125
1590928665.848195,801,0.0625
1590928667.3446789,802,-0.0625
1590928668.3607721,803,0.03125
1590928669.482909,804,0.1875
1590928670.686988,805,0.125
1590928671.977105,806,-0.09375
1590928672.894743,807,-0.3125
1590928674.05784,808,-0.21875
1590928675.321363,809,-0.25
1590928676.394432,810,-0.46875
1590928677.850069,811,-0.09375
1590928679.013084,812,0.1875
1590928680.0907369,813,0.0625
1590928681.028998,814,0.21875
1590928682.3345191,815,-0.125
1590928683.7715929,816,-0.3125
1590928684.7385862,817,-0.125
1590928686.676128,818,0.03125
1590928687.628438,819,-0.1875
1590928689.2131252,820,0.03125
1590928690.174041,821,0.03125
1590928691.357854,822,-0.0625
1590928692.1071029,823,-0.125
1590928693.127491,824,-0.0625
1590928694.277781,825,-0.03125
1590928696.127743,826,0.0625
1590928697.4898849,827,-0.21875
1590928698.844486,828,0.125
1590928700.147443,829,0.25
1590928701.222207,830,-0.0625
1590928702.772945,831,0.1875
1590928704.19897,832,-0.21875
1590928705.7223418,833,-0.125
1590928707.162575,834,0.09375
1590928709.396266,835,0.09375
1590928711.295605,836,0.1875
1590928712.9653409,837,0.34375
1590928713.8987799,838,-0.25
1590928716.363234,839,0.09375
1590928718.521039,840,-0.34375
1590928720.031071,841,-0.1875
1590928721.843173,842,0.3125
1590928723.433239,843,-0.28125
1590928725.045585,844,0.125
1590928726.492079,845,-0.03125
1590928727.9149702,846,-0.25
1590928729.0326881,847,-0.09375
1590928730.3422878,848,-0.15625
1590928731.6356008,849,-0.09375
1590928732.540264,850,0.0
1590928733.7982662,851,-0.3125
1590928734.889639,852,0.1875
1590928735.980546,853,0.03125
1590928736.985707,854,-0.1875
1590928738.134737,855,-0.15625
1590928739.0899851,856,0.0
1590928740.2618282,857,0.25
1590928741.226284,858,0.1875
1590928742.0768251,859,0.34375
1590928743.147488,860,0.0625
1590928744.758262,861,0.15625
1590928745.965354,862,0.15625
1590928748.299665,863,0.0625
1590928750.41238,864,0.25
1590928752.497549,865,0.1875
1590928754.012801,866,-0.09375
1590928756.0648801,867,-0.09375
1590928757.7476852,868,-0.0625
1590928759.1959832,869,0.0
1590928760.117416,870,0.375
1590928761.693832,871,-0.0625
1590928763.733737,872,-0.21875
1590928765.206649,873,0.03125
1590928766.592769,874,0.25
1590928768.123564,875,0.09375
1590928770.223732,876,-0.40625
1590928771.607726,877,0.25
1590928772.6918871,878,0.46875
1590928773.828972,879,0.25
1590928774.8483012,880,0.125
1590928775.92332,881,0.09375
1590928777.4556348,882,0.125
1590928778.762986,883,-0.09375
1590928780.318073,884,-0.0625
1590928781.412948,885,0.03125
1590928782.3729532,886,0.375
1590928783.780354,887,0.0625
1590928785.358272,888,-0.0625
1590928787.431427,889,-0.1875
1590928788.67037,890,-0.03125
1590928790.256439,891,0.5625
1590928791.229467,892,0.09375
1590928792.57264,893,0.125
1590928794.634994,894,0.15625
1590928796.186618,895,-0.15625
1590928797.721101,896,0.25
1590928799.127666,897,0.15625
1590928800.252428,898,-0.15625
1590928801.189451,899,0.03125
1590928801.877326,900,0.0625
1590928802.657991,901,0.125
1590928803.640687,902,0.4375
1590928804.572265,903,-0.03125
1590928805.507787,904,-0.21875
1590928806.2648692,905,0.15625
1590928807.1395252,906,0.1875
1590928808.0328681,907,-0.28125
1590928808.9057999,908,0.125
1590928810.3326678,909,-0.125
1590928811.893286,910,0.0625
1590928813.321392,911,0.25
1590928814.2532759,912,0.15625
1590928815.47782,913,0.25
1590928816.5204248,914,0.125
1590928818.796931,915,0.09375
1590928819.941057,916,-0.03125
1590928821.697233,917,0.09375
1590928823.207731,918,-0.25
1590928824.897772,919,0.21875
1590928826.2142231,920,0.09375
1590928828.075274,921,0.1875
1590928829.728338,922,0.15625
1590928830.955581,923,0.125
1590928832.034267,924,-0.0625
1590928833.400108,925,0.15625
1590928834.624258,926,0.03125
1590928835.712275,927,0.03125
1590928836.9480362,928,-0.1875
1590928837.861771,929,0.375
1590928839.4598641,930,0.0
1590928840.7466009,931,0.09375
1590928841.66786,932,0.3125
1590928842.6860769,933,0.09375
1590928844.0513449,934,0.3125
1590928845.4035158,935,0.1875
1590928846.255222,936,0.28125
1590928847.534474,937,0.28125
1590928848.650267,938,0.09375
1590928849.610473,939,-0.03125
1590928850.987736,940,-0.03125
1590928852.450561,941,0.125
1590928854.2702641,942,-0.0625
1590928855.361668,943,0.34375
1590928856.614416,944,0.25
1590928858.295844,945,-0.15625
1590928859.432354,946,0.375
1590928860.7914612,947,-0.09375
1590928862.463083,948,0.59375
1590928863.768308,949,0.0625
1590928865.0306299,950,0.3125
1590928866.3948102,951,0.25
1590928868.524077,952,-0.03125
1590928869.500654,953,0.21875
1590928870.64642,954,0.0
1590928871.646166,955,-0.03125
1590928873.145364,956,0.21875
1590928873.974713,957,0.21875
1590928875.412638,958,0.125
1590928877.320968,959,0.34375
1590928878.267154,960,0.375
1590928879.767639,961,0.125
1590928881.277525,962,0.15625
1590928882.01037,963,-0.0625
1590928882.991188,964,0.34375
1590928885.576223,965,0.625
1590928886.96503,966,0.15625
1590928888.109832,967,-0.03125
1590928889.257237,968,0.09375
1590928890.057537,969,0.3125
1590928891.135264,970,-0.03125
1590928893.287387,971,0.375
1590928894.990314,972,0.3125
1590928896.525728,973,0.21875
1590928897.706791,974,0.21875
1590928898.838145,975,0.25
1590928900.2343419,976,0.4375
1590928901.127987,977,0.28125
1590928902.2742999,978,0.0625
1590928903.489273,979,0.53125
1590928904.469267,980,0.5
1590928905.66464,981,0.0
1590928906.42145,982,0.21875
1590928907.545547,983,0.40625
1590928908.56603,984,0.21875
1590928909.768227,985,0.15625
1590928910.7845151,986,0.1875
1590928911.849417,987,-0.125
1590928913.011731,988,0.5
1590928913.986212,989,-0.09375
1590928914.877285,990,0.21875
1590928916.120054,991,0.0625
1590928917.236772,992,0.125
1590928918.804396,993,-0.03125
1590928919.833765,994,0.4375
1590928920.7741299,995,-0.25
1590928921.54038,996,0.125
1590928922.2289228,997,0.125
1590928923.299752,998,0.53125
1590928925.03836,999,0.78125
1590928926.946037,1000,0.6875
1590928927.786664,1001,0.40625
1590928928.61571,1002,0.3125
1590928930.114321,1003,0.15625
1590928931.751018,1004,0.5625
1590928934.23437,1005,0.34375
1590928936.683411,1006,0.4375
1590928938.3194518,1007,0.09375
1590928939.690377,1008,0.34375
1590928941.017618,1009,0.46875
1590928942.371436,1010,0.34375
1590928944.241021,1011,-0.03125
1590928945.74821,1012,0.28125
1590928948.548063,1013,0.1875
1590928951.3662238,1014,0.5
1590928952.753376,1015,0.0
1590928953.646828,1016,0.28125
1590928955.051554,1017,0.21875
1590928956.421669,1018,0.03125
1590928958.3272169,1019,0.25
1590928959.80702,1020,0.1875
1590928961.058114,1021,0.0625
1590928961.782581,1022,0.28125
1590928963.645004,1023,0.21875
1590928965.43204,1024,0.28125
1590928967.1988962,1025,0.375
1590928968.1119301,1026,0.09375
1590928969.755471,1027,0.40625
1590928971.394389,1028,0.03125
1590928972.698922,1029,0.4375
1590928973.695672,1030,0.5625
1590928975.2375941,1031,0.625
1590928976.514822,1032,-0.28125
1590928977.3626938,1033,0.59375
1590928978.597944,1034,0.34375
1590928979.423226,1035,0.1875
1590928981.134251,1036,0.3125
1590928982.452051,1037,0.34375
1590928983.400415,1038,0.46875
1590928984.806924,1039,0.40625
1590928985.7485251,1040,0.0625
1590928986.615995,1041,0.0625
1590928987.909989,1042,0.375
1590928988.777306,1043,0.375
1590928990.084088,1044,0.3125
1590928991.2041001,1045,0.25
1590928991.9048672,1046,0.75
1590928993.222717,1047,0.40625
1590928994.2637188,1048,-0.09375
1590928995.3804832,1049,0.15625
1590928997.896425,1050,0.28125
1590928999.275008,1051,0.71875
1590929000.343694,1052,0.34375
1590929001.917809,1053,0.40625
1590929003.385311,1054,0.28125
1590929005.539019,1055,0.03125
1590929006.6584032,1056,0.4375
1590929008.090111,1057,0.59375
1590929009.3548532,1058,0.28125
1590929011.218005,1059,0.09375
1590929012.520156,1060,0.1875
1590929013.67874,1061,0.28125
1590929015.129998,1062,0.4375
1590929017.310977,1063,0.46875
1590929018.446172,1064,0.34375
1590929019.828823,1065,0.5625
1590929020.692673,1066,0.375
1590929021.699344,1067,0.65625
1590929022.782042,1068,0.09375
1590929023.9417331,1069,0.5625
1590929025.170124,1070,0.625
1590929025.942301,1071,0.3125
1590929026.7883809,1072,0.40625
1590929028.039135,1073,0.46875
1590929029.261732,1074,0.0625
1590929030.498046,1075,0.28125
1590929032.0040278,1076,0.1875
1590929033.076763,1077,0.40625
1590929035.332632,1078,0.71875
1590929037.496955,1079,0.53125
1590929038.2493398,1080,0.15625
1590929039.8250382,1081,0.28125
1590929040.9519339,1082,0.15625
1590929042.745007,1083,-0.0625
1590929044.14138,1084,-0.03125
1590929045.237289,1085,0.375
1590929046.4427001,1086,0.34375
1590929047.471647,1087,0.25
1590929048.8754802,1088,0.4375
1590929049.989268,1089,0.21875
1590929050.993762,1090,0.40625
1590929051.8051882,1091,0.375
1590929052.755659,1092,0.65625
1590929053.535168,1093,0.15625
1590929054.757529,1094,0.15625
1590929056.450132,1095,0.1875
1590929057.762624,1096,0.21875
1590929059.240018,1097,0.75
1590929060.752536,1098,0.6875
1590929062.247817,1099,0.15625
1590929063.324679,1100,0.1875
1590929064.669774,1101,0.0625
1590929065.5349429,1102,0.5
1590929066.459487,1103,0.3125
1590929067.9196749,1104,0.34375
1590929068.886962,1105,0.25
1590929069.9986649,1106,0.5
1590929071.070865,1107,0.46875
1590929072.1843798,1108,0.15625
1590929073.1782432,1109,0.3125
1590929074.2611682,1110,0.28125
1590929075.476574,1111,0.1875
1590929076.580791,1112,0.34375
1590929077.9066198,1113,0.1875
1590929078.958926,1114,0.5625
1590929080.2080178,1115,0.0
1590929081.8089359,1116,0.09375
1590929083.454751,1117,0.5
1590929084.236419,1118,0.3125
1590929085.421269,1119,0.28125
1590929086.564697,1120,0.1875
1590929087.834551,1121,0.375
1590929089.326656,1122,0.46875
1590929090.5180318,1123,0.46875
1590929091.4840991,1124,0.5625
1590929092.2722912,1125,0.4375
1590929093.317742,1126,0.34375
1590929094.255339,1127,0.25
1590929095.301675,1128,0.21875
1590929096.3071392,1129,0.75
1590929097.379832,1130,0.5625
1590929100.791421,1131,0.25
1590929101.787673,1132,0.375
1590929102.964428,1133,0.15625
1590929103.79321,1134,0.59375
1590929104.6289952,1135,0.0625
1590929105.842818,1136,0.125
1590929106.790505,1137,0.375
1590929108.040781,1138,0.25
1590929109.024066,1139,0.34375
1590929110.183897,1140,0.34375
1590929111.2071412,1141,0.375
1590929112.3238559,1142,0.65625
1590929113.431592,1143,0.25
1590929114.4761071,1144,0.4375
1590929115.907681,1145,0.53125
1590929116.899389,1146,0.28125
1590929118.2592268,1147,0.59375
1590929119.330741,1148,0.34375
1590929120.317131,1149,0.5625
1590929121.4857202,1150,0.0
1590929122.642082,1151,0.3125
1590929125.897826,1152,0.09375
1590929127.6468139,1153,0.375
1590929130.172271,1154,0.1875
1590929131.6163042,1155,0.15625
1590929133.105533,1156,0.625
1590929134.174578,1157,0.125
1590929135.482971,1158,0.1875
1590929136.5698829,1159,0.0
1590929137.8318331,1160,0.25
1590929138.806871,1161,0.21875
1590929140.055558,1162,0.53125
1590929141.2241821,1163,0.25
1590929142.564459,1164,0.03125
1590929143.635869,1165,0.46875
1590929144.475248,1166,0.21875
1590929145.843929,1167,0.21875
1590929146.9890509,1168,0.125
1590929148.237535,1169,0.5625
1590929149.7608802,1170,0.375
1590929150.9649029,1171,0.3125
1590929153.1345978,1172,0.25
1590929154.488291,1173,0.3125
1590929155.565012,1174,0.40625
1590929156.468747,1175,0.3125
1590929157.5701919,1176,0.1875
1590929158.548458,1177,0.40625
1590929159.684261,1178,0.375
1590929160.9359539,1179,0.28125
1590929162.2005172,1180,0.25
1590929163.54428,1181,0.3125
1590929164.494463,1182,0.5625
1590929165.6539361,1183,0.25
1590929166.586515,1184,0.40625
1590929167.6576169,1185,0.4375
1590929168.495994,1186,0.46875
1590929169.57335,1187,0.75
1590929170.4983768,1188,0.5
1590929171.944957,1189,0.15625
1590929173.17389,1190,0.21875
1590929174.523056,1191,0.21875
1590929176.525904,1192,0.3125
1590929178.428664,1193,-0.03125
1590929179.428285,1194,0.53125
1590929181.242691,1195,0.71875
1590929182.892403,1196,0.3125
1590929184.0035908,1197,0.0625
1590929185.606661,1198,0.5625
1590929186.4453702,1199,0.40625
1590929187.6205702,1200,0.125
1590929188.536468,1201,0.25
1590929189.956527,1202,0.53125
1590929191.375764,1203,0.15625
1590929192.36696,1204,0.59375
1590929193.465672,1205,0.34375
1590929194.586452,1206,0.1875
1590929195.9063911,1207,0.59375
1590929197.008203,1208,0.5
1590929198.163994,1209,0.28125
1590929199.189378,1210,0.5625
1590929200.243617,1211,0.5
1590929201.6387389,1212,0.625
1590929203.008394,1213,0.5
1590929204.6785338,1214,0.1875
1590929206.352448,1215,0.5625
1590929208.691773,1216,0.3125
1590929211.181886,1217,0.375
1590929212.2233431,1218,0.53125
1590929213.853944,1219,0.3125
1590929215.272757,1220,0.4375
1590929216.817825,1221,0.53125
1590929218.322006,1222,0.125
1590929219.353578,1223,0.6875
1590929220.292908,1224,0.75
1590929221.328556,1225,0.5
1590929222.710818,1226,0.09375
1590929223.643981,1227,0.4375
1590929224.405419,1228,0.5625
1590929225.139217,1229,0.125
1590929226.527534,1230,0.21875
1590929227.7000499,1231,0.25
1590929228.882551,1232,0.84375
1590929230.1991098,1233,0.53125
1590929231.374876,1234,0.25
1590929232.6544142,1235,0.4375
1590929233.8321972,1236,0.40625
1590929234.952767,1237,0.53125
1590929236.180416,1238,0.5
1590929237.418187,1239,0.5
1590929238.6147242,1240,0.46875
1590929239.7528582,1241,0.375
1590929240.97343,1242,0.375
1590929242.2136478,1243,0.625
1590929243.369035,1244,0.6875
1590929244.979444,1245,0.25
1590929246.942763,1246,0.15625
1590929248.289185,1247,0.9375
1590929249.428332,1248,0.25
1590929250.566984,1249,0.6875
1590929251.7547362,1250,0.1875
1590929254.3532538,1251,0.65625
1590929255.6205828,1252,0.6875
1590929256.839829,1253,-0.0625
1590929258.024076,1254,0.28125
1590929259.197372,1255,0.65625
1590929260.332829,1256,0.375
