Wall time,Step,Value
1590925705.4295979,751,0.4375
1590925706.839929,752,0.21875
1590925708.010273,753,0.3125
1590925709.1117508,754,0.21875
1590925710.250568,755,0.3125
1590925711.339766,756,0.25
1590925712.48894,757,0.3125
1590925713.628884,758,0.21875
1590925714.826842,759,0.25
1590925715.902386,760,0.34375
1590925716.9420311,761,0.28125
1590925718.080852,762,0.21875
1590925719.0875862,763,-0.03125
1590925720.126765,764,0.21875
1590925721.3177102,765,0.28125
1590925722.387787,766,-0.1875
1590925724.805823,767,0.125
1590925726.307819,768,0.4375
1590925727.5118232,769,-0.28125
1590925728.3257542,770,0.125
1590925729.5468102,771,0.1875
1590925730.747168,772,0.28125
1590925731.669914,773,0.3125
1590925732.582151,774,0.34375
1590925733.769155,775,0.3125
1590925734.743239,776,0.34375
1590925735.914905,777,0.21875
1590925736.802488,778,0.40625
1590925738.523767,779,0.21875
1590925739.673012,780,0.34375
1590925740.570325,781,0.28125
1590925741.392587,782,0.21875
1590925743.4409091,783,0.46875
1590925744.772946,784,-0.28125
1590925745.99931,785,0.1875
1590925746.9243279,786,0.3125
1590925748.0250208,787,0.40625
1590925749.283061,788,0.375
1590925750.1841002,789,0.3125
1590925750.9881558,790,0.3125
1590925751.79393,791,0.5
1590925752.60321,792,0.125
1590925753.381748,793,-0.1875
1590925754.169392,794,-0.03125
1590925754.9035048,795,0.40625
1590925755.657823,796,0.3125
1590925756.433511,797,0.625
1590925757.226086,798,-0.15625
1590925757.993737,799,0.125
1590925758.7387068,800,0.09375
1590925759.619447,801,0.5
1590925760.428752,802,0.28125
1590925761.178035,803,0.25
1590925762.0125701,804,0.1875
1590925762.956061,805,-0.0625
1590925763.834849,806,0.59375
1590925764.7327318,807,0.28125
1590925765.5848398,808,0.28125
1590925766.4085991,809,0.46875
1590925767.184159,810,0.15625
1590925767.9545228,811,0.21875
1590925768.731492,812,0.46875
1590925769.6215,813,-0.09375
1590925770.3542259,814,0.0
1590925771.2384582,815,0.28125
1590925772.033182,816,0.40625
1590925772.794894,817,0.34375
1590925773.533355,818,0.40625
1590925774.267898,819,0.25
1590925775.135786,820,0.34375
1590925775.914858,821,0.53125
1590925776.754781,822,0.46875
1590925777.5648158,823,0.53125
1590925778.3501341,824,0.5
1590925779.091299,825,0.4375
1590925779.87922,826,0.03125
1590925780.694051,827,-0.0625
1590925781.494752,828,-0.09375
1590925782.269237,829,0.71875
1590925783.043755,830,0.625
1590925783.7719219,831,0.4375
1590925784.528113,832,0.40625
1590925785.2809348,833,-0.125
1590925786.035192,834,0.46875
1590925786.776509,835,0.8125
1590925787.556282,836,0.375
1590925788.311867,837,0.5
1590925789.038406,838,0.03125
1590925789.797652,839,0.5
1590925790.508694,840,0.71875
1590925791.263325,841,0.625
1590925792.031851,842,0.6875
1590925792.7740512,843,0.5625
1590925793.5222259,844,0.1875
1590925794.26191,845,0.5625
1590925795.107841,846,0.15625
1590925796.590584,847,0.4375
1590925797.372326,848,0.46875
1590925798.442198,849,0.1875
1590925799.381711,850,0.65625
1590925800.2738292,851,0.59375
1590925801.356777,852,-0.03125
1590925802.1611469,853,0.625
1590925802.897939,854,-0.03125
1590925803.666568,855,0.53125
1590925804.413627,856,0.0
1590925805.169701,857,0.5625
1590925805.9084659,858,0.5
1590925806.778656,859,0.5625
1590925807.852758,860,0.6875
1590925808.8400588,861,0.4375
1590925809.9895759,862,0.34375
1590925811.191574,863,0.53125
1590925812.257835,864,0.4375
1590925813.3975449,865,0.5
1590925814.2090712,866,-0.03125
1590925814.994576,867,-0.09375
1590925815.7427158,868,0.34375
1590925816.66908,869,-0.09375
1590925817.523196,870,0.40625
1590925818.2877471,871,0.4375
1590925819.180001,872,0.59375
1590925820.2749481,873,0.5625
1590925821.1377192,874,0.5
1590925821.869246,875,-0.09375
1590925822.616755,876,0.09375
1590925823.3701818,877,0.4375
1590925824.479164,878,0.46875
1590925825.377099,879,0.65625
1590925826.190776,880,0.53125
1590925826.9325,881,-0.4375
1590925827.818512,882,0.59375
1590925828.673154,883,0.0625
1590925829.612007,884,0.125
1590925831.246249,885,0.21875
1590925832.069995,886,0.59375
1590925833.049284,887,0.5625
1590925834.296621,888,0.65625
