Wall time,Step,Value
1590925314.687011,752,0.5
1590925315.505087,756,0.21875
1590925316.377859,760,0.75
1590925317.209666,764,0.84375
1590925318.025364,768,0.65625
1590925318.875529,772,0.8125
1590925319.770978,776,0.5
1590925320.699158,780,0.25
1590925321.634054,784,0.34375
1590925322.478039,788,0.59375
1590925323.2817779,792,0.78125
1590925324.1918058,796,0.5625
1590925325.0448241,800,0.53125
1590925325.9364018,804,0.40625
1590925326.851222,808,0.53125
1590925327.668652,812,0.875
1590925328.4436831,816,0.625
1590925329.2752829,820,0.625
1590925330.0996292,824,0.5
1590925330.914238,828,0.625
1590925331.80452,832,0.40625
1590925332.621946,836,0.84375
1590925333.4216871,840,0.46875
1590925334.236127,844,0.4375
1590925335.090705,848,0.65625
1590925336.167517,852,0.71875
1590925337.531782,856,0.59375
1590925339.071014,860,0.5625
1590925341.309294,864,0.40625
1590925343.823614,868,0.4375
1590925346.036921,872,0.28125
1590925348.416437,876,0.46875
1590925350.427259,880,0.84375
1590925352.12382,884,0.625
1590925353.962251,888,0.71875
1590925355.776457,892,0.59375
1590925357.553399,896,0.5625
1590925359.031801,900,0.5625
1590925360.77565,904,0.625
1590925362.324773,908,0.34375
1590925363.478244,912,0.15625
1590925364.727305,916,0.5625
1590925367.999122,920,0.71875
1590925369.3772202,924,0.5
1590925370.2151198,928,0.5625
1590925371.061821,932,0.5625
1590925371.951911,936,0.8125
1590925373.29583,940,0.59375
1590925374.598646,944,0.53125
1590925375.4990568,948,0.5625
1590925376.3677208,952,0.78125
1590925377.4445372,956,0.75
1590925378.342825,960,0.625
1590925379.648372,964,0.84375
1590925380.888457,968,0.40625
1590925382.280939,972,0.75
1590925383.1756659,976,0.28125
1590925384.126233,980,0.53125
1590925385.0630422,984,0.53125
1590925385.980793,988,0.65625
1590925387.46506,992,0.78125
1590925388.5034938,996,0.6875
1590925389.369052,1000,0.5
1590925390.37585,1004,1.03125
1590925391.3207092,1008,0.40625
1590925392.253404,1012,0.71875
1590925393.3027,1016,0.65625
1590925394.251989,1020,0.625
1590925395.1536908,1024,0.71875
1590925396.4245021,1028,0.5
1590925397.4000902,1032,0.5
1590925398.241077,1036,0.625
1590925399.066112,1040,0.65625
1590925401.522075,1044,0.4375
1590925402.8741162,1048,0.5625
1590925405.102516,1052,0.875
1590925406.8117409,1056,0.5625
1590925408.269631,1060,0.96875
1590925409.971018,1064,0.53125
1590925411.693593,1068,0.75
1590925413.2486532,1072,0.6875
1590925414.117974,1076,0.4375
1590925415.2953532,1080,0.5
1590925416.1824489,1084,0.5625
1590925417.046897,1088,0.28125
1590925417.962902,1092,0.90625
1590925419.0242162,1096,0.625
1590925420.649961,1100,0.4375
1590925421.722795,1104,0.8125
1590925422.610484,1108,0.4375
1590925423.439952,1112,0.625
1590925424.296097,1116,0.5
1590925425.227037,1120,0.5625
1590925426.547612,1124,0.625
1590925427.524239,1128,0.4375
1590925428.4810612,1132,0.46875
1590925429.5297291,1136,0.5
1590925430.4174001,1140,0.40625
1590925431.4407492,1144,0.6875
1590925432.3503108,1148,0.75
1590925433.324948,1152,0.59375
1590925434.2095082,1156,0.6875
1590925435.192401,1160,0.53125
1590925436.060456,1164,0.5
1590925437.182314,1168,0.71875
1590925438.158602,1172,0.625
1590925439.257409,1176,0.625
1590925440.52805,1180,0.625
1590925442.2116811,1184,0.46875
1590925443.324109,1188,0.34375
1590925444.8999722,1192,0.59375
1590925446.055916,1196,0.75
1590925447.026071,1200,0.25
1590925448.128034,1204,0.53125
1590925449.2450728,1208,0.4375
1590925450.302578,1212,0.4375
1590925451.531017,1216,0.59375
1590925452.9729521,1220,0.71875
1590925453.806695,1224,0.65625
1590925454.7135391,1228,0.59375
1590925455.5119512,1232,0.6875
1590925456.6348548,1236,0.6875
1590925457.757777,1240,0.40625
1590925458.648015,1244,0.625
1590925459.752352,1248,0.71875
1590925460.852761,1252,0.5625
