#{"t_start": 1591361345.185406, "env_id": "SuperMarioBros-v2"}
r,l,t
251,140,3.227279
508,639,6.833838
498,531,9.79052
511,560,12.931307
510,580,16.181759
614,779,42.347797
510,585,62.87517
484,1100,101.6229
491,663,125.313355
506,663,148.599531
498,823,177.433624
498,535,196.129874
499,817,224.789909
512,555,244.280618
495,594,265.080313
509,608,286.476593
503,737,312.342904
494,620,334.060869
508,632,356.265046
512,555,375.762332
492,650,398.511915
241,132,403.226251
509,608,424.779858
492,641,447.711038
498,822,476.546723
237,155,482.040621
499,520,500.247431
251,132,504.894154
506,671,528.382081
488,723,553.752937
505,682,577.707804
512,550,597.044378
498,539,615.928143
511,564,635.742898
514,519,653.972349
494,614,675.510646
508,624,697.39963
510,598,718.628377
495,591,739.448837
502,748,766.067205
509,618,787.86729
498,538,806.776585
248,124,811.155175
510,589,831.889297
223,150,837.201275
249,122,841.511499
507,650,864.316876
495,581,884.834778
506,663,908.207697
512,545,927.394686
492,641,949.971075
512,547,969.265364
242,129,973.807491
494,601,994.875119
503,727,1020.6257
503,720,1045.931412
230,134,1050.706415
513,526,1069.602288
628,786,1097.237198
494,607,1118.568542
511,562,1138.324155
512,552,1157.726562
226,132,1162.370075
513,536,1181.236617
513,539,1200.238341
492,659,1223.504112
511,560,1243.440376
492,957,1277.401088
228,132,1282.062072
513,538,1301.110514
238,145,1306.274509
492,657,1329.882352
508,620,1351.773983
237,137,1356.650733
489,715,1382.496664
512,557,1402.285607
511,563,1422.189763
495,593,1443.296758
252,132,1448.023191
505,696,1472.722504
498,537,1491.803871
512,558,1511.565129
626,839,1541.231953
232,122,1545.533249
635,649,1568.520559
508,635,1591.034343
496,565,1611.018557
504,700,1635.971688
505,699,1660.665464
499,517,1679.292406
611,1127,1719.242448
510,580,1739.818014
486,773,1767.154068
246,128,1771.713034
512,556,1791.38755
490,684,1815.541151
250,124,1819.950356
242,135,1824.768055
494,605,1846.215052
503,721,1871.713006
502,759,1898.485371
231,136,1903.276908
513,530,1922.014189
250,125,1926.448179
492,646,1949.479948
510,589,1970.258145
512,544,1989.790192
496,564,2009.841517
499,815,2038.577144
510,583,2059.172997
622,604,2080.526486
607,1204,2123.435608
586,721,2149.121052
491,675,2173.173299
245,120,2177.477207
621,929,2210.656671
498,527,2229.475472
625,846,2259.833948
244,139,2264.781798
497,555,2284.58872
512,551,2304.769029
507,650,2327.993676
226,136,2332.844173
623,885,2364.661874
513,532,2383.668717
606,931,2416.90673
633,688,2441.519159
